welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Classic rock,survey.question1.A cappella,survey.question1.Pop,survey.question1.Country,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Classical,survey.question1.Reggae,survey.question1.Latin,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0003,1.9366,space,1.9188,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,26.3726,26.3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,26.3741,55.9696,space,29.5781,0.0003,55.9696,135.7857,[],[],[],[],[],[],[],right,69.7993,0.0031,135.7927,147.5233,space,11.7201,,147.5234,167.9305,6.827777778,20.39,167.9307,172.9593,space,5.0132,,172.9831,179.268,0.0,0.0,0.0,1.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.2684,185.7235,0.0,1.0,1.0,0.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7311,189.1114,6.988888889,3.3764,0.0,0.0,0.0,21.0,1.0,song_indices/ShapeofYou_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1129,195.5406,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.5483,201.7029,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.703,209.3725,5.011111111,7.6572,0.0,1.0,1.0,12.0,1.0,song_indices/Fallin_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.3739,215.575,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
