welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Jazz,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Latin,survey.question1.Reggae,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.Country,survey.question1.Ambient,survey.question1.A cappella,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0003,6.2228,space,6.2086,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,20.7562,20.7563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,20.7573,23.2726,space,2.4895,,23.2727,36.706,"[-0.002777777777777778,0.04259259259259259,-0.002777777777777778,-0.019444444444444445,-0.019444444444444445,-0.05185185185185185,-0.010185185185185186,-0.003703703703703704,-0.026851851851851852]","[-0.42592592592592593,-0.40555555555555556,-0.4203703703703704,-0.4351851851851852,-0.4351851851851852,-0.4287037037037037,-0.4222222222222222,-0.4185185185185185,-0.4305555555555556]","[1,1,1,1,1,1,1,0,1]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,1,0]","[1.564800000011921,6.081300000011922,6.431400000035765,7.381300000011926,8.748000000000005,9.414600000023846,10.431300000011923,11.614600000023842,12.514800000011924]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,3.4139,,36.7061,43.8061,space,7.0808,,43.8062,59.9227,4.977777778,16.1085,59.9229,61.4892,space,1.548,,61.5011,67.7567,0.0,0.0,0.0,1.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7571,73.9057,0.0,1.0,1.0,0.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9108,76.7559,2.766666667,2.8366,0.0,0.0,0.0,21.0,1.0,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7567,83.2724,0.0,0.0,0.0,1.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2774,90.6567,0.0,1.0,1.0,0.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6568,91.6891,4.988888889,1.0168,0.0,1.0,1.0,20.0,1.0,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6896,99.3557,0.0,0.0,0.0,1.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
