welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Classical,survey.question1.A cappella,survey.question1.Pop,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0,3.584,space,3.561,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,27.66,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,27.662,36.736,space,9.048,,36.736,93.272,"[0.41333333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.47333333333333333,0.47333333333333333,-0.016666666666666666,-0.016666666666666666,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,-0.013333333333333334,-0.013333333333333334,-0.058833333333333335,-0.028833333333333332]","[-0.41333333333333333,-0.43222222222222223,-0.43222222222222223,-0.43222222222222223,-0.45666666666666667,-0.45666666666666667,-0.42333333333333334,-0.42333333333333334,-0.4488888888888889,-0.4488888888888889,-0.4488888888888889,-0.45,-0.43666666666666665,-0.43666666666666665,-0.449,-0.441]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[20.376999999999995,21.935000000000016,22.086,22.90400000000001,26.974000000000004,27.14399999999999,41.35200000000002,42.394999999999996,43.479,44.138999999999996,44.61399999999999,44.813,45.60200000000002,45.78099999999999,55.43799999999999,56.031000000000006]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,46.482,,93.274,108.773,space,15.125,0.003,108.774,127.237,4.981,18.433,127.239,129.813,space,2.425,,129.858,136.109,0.0,0.0,0.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.112,142.462,0.0,1.0,1.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.464,144.554,6.993,2.083,0.0,0.0,0.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.569,150.045,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.045,156.328,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.331,158.575,3.001,2.23,0.0,1.0,1.0,15.0,1.0,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.599,164.756,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
