welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Country,survey.question1.Reggae,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.Latin,survey.question1.Metal,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0,1.711,space,1.692,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,25.931,25.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,25.932,27.047,space,1.091,,27.047,38.892,"[0.007407407407407408,0.04722222222222222]","[-0.4287037037037037,-0.26851851851851855]","[1,1]","[0,0]","[0,0]","[1.024000000000001,10.533000000000001]","[""play_button""]",right,1.822,,38.893,40.412,space,1.477,,40.412,56.206,6.0,15.774,56.206,58.83,space,2.604,,58.859,65.149,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.157,71.804,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.808,73.614,4.972222222,1.799,0.0,0.0,0.0,20.0,1.0,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.62,80.412,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.416,87.653,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.656,89.696,4.988888889,2.036,0.0,1.0,1.0,7.0,1.0,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.701,95.732,0.0,0.0,0.0,0.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
