welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Country,survey.question1.Latin,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Disco,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0003,1.9652,space,1.9356,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,17.1079,17.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,17.1131,30.8682,space,13.6975,,30.8686,80.8996,"[-0.018055555555555554,-0.022222222222222223]","[-0.4375,-0.4398148148148148]","[1,1]","[0,0]","[0,0]","[14.579900000005964,40.98350000000001]","[""play_button"",""play_button""]",right,40.0011,,80.9,90.2284,space,9.2941,,90.2287,108.0577,3.533333333,17.8055,108.0583,110.6413,space,2.5596,,110.7017,117.0413,0.0,0.0,0.0,0.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0613,124.5673,0.0,1.0,1.0,1.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.588,126.4693,6.133333333,1.8789,0.0,0.0,0.0,3.0,1.0,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4713,133.4924,0.0,0.0,0.0,1.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5132,139.6357,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.6359,145.7758,1.130555556,6.1154,0.0,1.0,1.0,14.0,1.0,song_indices/StrawberryFieldsForever_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.7777,152.0271,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
