welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Folk/indie,survey.question1.Jazz,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Metal,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Reggae,survey.question1.Country,survey.question1.Ambient,survey.question1.Disco,survey.question1.R&B,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0001,1.1224,space,1.1081,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,12.2585,12.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,12.2616,15.69,space,3.3954,,15.6902,40.5727,"[-0.024388427734375,-0.021914605034722222,-0.021914605034722222,-0.019336208767361113]","[-0.4150708685980903,-0.4285709635416667,-0.4285709635416667,-0.450594482421875]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.9949000000059627,14.528300000011917,15.112000000000002,15.8615]","[""play_button""]",right,14.8579,,40.584,48.7896,space,8.1867,,48.7898,64.3243,2.866659342,15.5186,64.3248,65.7896,space,1.4395,,65.8187,71.9063,0.0,0.0,0.0,0.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9073,75.8912,0.0,1.0,1.0,1.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9071,78.2216,4.968621012,2.3055,0.0,0.0,0.0,16.0,1.0,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2238,84.505,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5211,91.9388,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9393,92.7886,1.018496297,0.8221,0.0,1.0,1.0,14.0,1.0,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7898,98.9054,0.0,0.0,0.0,0.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9215,104.0553,0.0,1.0,1.0,1.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0556,105.3885,5.863545329,1.3079,0.0,2.0,2.0,8.0,1.0,song_indices/JoyToTheWorld_ThreeDogNight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3901,112.1552,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1715,119.2712,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2714,120.0211,5.894177653,0.7276,0.0,3.0,3.0,9.0,1.0,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0228,125.3383,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
