welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Country,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.A cappella,survey.question1.Ambient,survey.question1.Disco,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Metal,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0003,1.8892,space,1.863,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,32.4118,32.4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,32.423,36.5586,space,4.07,,36.5591,51.8145,[0.4255555555555556],[-0.035555555555555556],[1],[0],[0],[7.508299999982114],[],right,5.2186,,51.8561,63.4008,space,11.5071,,63.4017,78.099,4.546667074,14.6588,78.0996,80.4954,space,2.3802,,80.5273,87.3612,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3683,93.9181,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9193,97.0282,2.133333333,3.1056,0.0,0.0,0.0,21.0,1.0,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0314,103.2323,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2726,110.2552,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2567,113.011,4.373333333,2.7092,0.0,1.0,1.0,2.0,1.0,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0153,119.0755,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0947,125.0216,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0218,128.1916,2.846666667,3.1448,0.0,2.0,2.0,0.0,1.0,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1939,135.0448,0.0,0.0,0.0,1.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.095,142.1183,0.0,1.0,1.0,0.0,1.0,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.1188,148.1445,4.756666667,5.9938,0.0,3.0,3.0,23.0,1.0,song_indices/PokerFace_LadyGaga.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.1457,155.4096,0.0,0.0,0.0,0.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4546,162.2765,0.0,1.0,1.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.2772,163.1857,5.79,0.8696,0.0,4.0,4.0,7.0,1.0,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
