welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Country,survey.question1.Disco,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0004,3.4053,space,3.3846,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,21.948,21.9482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,21.9508,179.5082,space,157.5361,,179.5085,194.7925,[],[],[],[],[],[],[],right,5.2386,,194.8037,208.4108,space,13.5787,,208.4111,236.3607,5.053098958,27.933,236.361,239.7089,space,3.3322,,239.7353,245.8433,0.0,0.0,0.0,0.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.8441,250.978,0.0,1.0,1.0,1.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9801,255.6675,6.51125,4.6783,0.0,0.0,0.0,8.0,1.0,song_indices/JoyToTheWorld_ThreeDogNight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6683,262.6602,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6733,268.8602,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.8605,275.5012,3.996380208,6.621,0.0,1.0,1.0,2.0,1.0,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.5018,282.2939,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
